venue,batsman,bowler,over,ball,current_score,wickets,runs_last_6,runs_last_12,current_rr,future_runs_6,future_runs_12,future_runs_18
Sawai Mansingh Stadium,R Dravid,JA Morkel,0,0,0,0,0,0,0.0,28,71,109
Sawai Mansingh Stadium,R Dravid,JA Morkel,0,1,0,0,0,0,0.0,28,71,115
Sawai Mansingh Stadium,R Dravid,JA Morkel,0,2,4,0,4,4,11.999640010799677,25,68,111
Sawai Mansingh Stadium,R Dravid,JA Morkel,0,3,4,0,4,4,7.999840003199937,26,69,111
Sawai Mansingh Stadium,R Dravid,JA Morkel,0,4,4,0,4,4,5.99991000134998,27,69,112
Sawai Mansingh Stadium,R Dravid,JA Morkel,0,5,5,0,5,5,5.9999280008639895,27,70,111
Sawai Mansingh Stadium,R Dravid,JA Morkel,0,6,5,0,5,5,4.999950000499995,28,71,111
Sawai Mansingh Stadium,AM Rahane,BW Hilfenhaus,1,0,5,0,5,5,4.999950000499995,28,71,111
Sawai Mansingh Stadium,AM Rahane,BW Hilfenhaus,1,1,6,0,2,6,5.142813061602329,28,70,114
Sawai Mansingh Stadium,R Dravid,BW Hilfenhaus,1,2,6,0,2,6,4.499966250253123,30,71,114
Sawai Mansingh Stadium,R Dravid,BW Hilfenhaus,1,3,6,0,2,6,3.9999733335111096,31,71,115
Sawai Mansingh Stadium,R Dravid,BW Hilfenhaus,1,4,6,1,1,6,3.599978400129599,31,71,116
Sawai Mansingh Stadium,SR Watson,BW Hilfenhaus,1,5,10,1,5,10,5.454515702641622,28,68,116
Sawai Mansingh Stadium,AM Rahane,JA Morkel,2,0,14,1,9,14,6.999965000174999,25,65,112
Sawai Mansingh Stadium,AM Rahane,JA Morkel,2,1,15,1,9,11,6.923044970561675,24,65,111
Sawai Mansingh Stadium,SR Watson,JA Morkel,2,2,15,1,9,11,6.428543877669095,25,66,111
Sawai Mansingh Stadium,SR Watson,JA Morkel,2,3,19,1,13,15,7.599969600121599,21,62,107
Sawai Mansingh Stadium,SR Watson,JA Morkel,2,4,19,1,13,14,7.124973281350195,22,66,107
Sawai Mansingh Stadium,SR Watson,JA Morkel,2,5,19,1,9,14,6.70585868520464,23,68,107
Sawai Mansingh Stadium,AM Rahane,BW Hilfenhaus,3,0,19,1,5,14,6.333312222292593,28,71,107
Sawai Mansingh Stadium,AM Rahane,BW Hilfenhaus,3,1,19,1,4,13,5.999981052691413,29,71,107
Sawai Mansingh Stadium,AM Rahane,BW Hilfenhaus,3,2,20,1,5,14,5.999982000054,29,70,106
Sawai Mansingh Stadium,SR Watson,BW Hilfenhaus,3,3,20,1,1,14,5.714269387801749,30,71,106
Sawai Mansingh Stadium,SR Watson,BW Hilfenhaus,3,4,20,1,1,14,5.454530578552967,34,72,106
Sawai Mansingh Stadium,SR Watson,BW Hilfenhaus,3,5,20,1,1,10,5.21737769379732,40,73,106
Sawai Mansingh Stadium,AM Rahane,JA Morkel,4,0,24,1,5,10,5.9999850000375,41,70,102
Sawai Mansingh Stadium,AM Rahane,JA Morkel,4,1,24,1,5,9,5.759986176033178,41,70,102
Sawai Mansingh Stadium,AM Rahane,JA Morkel,4,2,24,1,4,9,5.538448757425945,42,70,102
Sawai Mansingh Stadium,AM Rahane,JA Morkel,4,3,24,1,4,5,5.333321481507819,42,71,102
Sawai Mansingh Stadium,AM Rahane,JA Morkel,4,4,25,1,5,6,5.3571313775756195,41,71,101
Sawai Mansingh Stadium,SR Watson,JA Morkel,4,5,25,1,5,6,5.172403091579811,42,72,101
Sawai Mansingh Stadium,AM Rahane,BW Hilfenhaus,5,0,26,1,2,7,5.199989600020801,42,71,100
Sawai Mansingh Stadium,SR Watson,BW Hilfenhaus,5,1,27,1,3,8,5.225796337168379,41,70,99
Sawai Mansingh Stadium,AM Rahane,BW Hilfenhaus,5,2,28,1,4,8,5.249990156268457,41,70,98
Sawai Mansingh Stadium,SR Watson,BW Hilfenhaus,5,3,28,2,4,8,5.090899834727574,42,74,98
