player,runs,balls,average,strike_rate,fours,sixes
R Dravid,144,145,24.0,99.3103448275862,18,1
AM Rahane,311,257,20.733333333333334,121.01167315175097,33,4
SR Watson,679,455,39.94117647058823,149.23076923076923,54,40
STR Binny,173,127,34.6,136.2204724409449,10,8
BJ Hodge,45,42,45.0,107.14285714285714,3,1
J Botha,34,45,11.333333333333334,75.55555555555556,1,0
AL Menaria,46,53,15.333333333333334,86.79245283018868,3,1
DH Yagnik,25,29,12.5,86.20689655172413,3,0
MEK Hussey,272,214,90.66666666666667,127.10280373831775,37,2
M Vijay,316,229,39.5,137.99126637554588,24,17
SK Raina,630,489,27.391304347826086,128.83435582822085,65,16
DJ Bravo,213,137,106.5,155.47445255474452,24,4
MS Dhoni,585,472,39.0,123.94067796610169,32,25
RA Jadeja,320,256,40.0,125.0,23,10
S Anirudha,18,8,18.0,225.0,1,2
JA Morkel,246,146,49.2,168.49315068493152,16,17
RD Gaikwad,273,208,45.5,131.25,24,9
DP Conway,84,77,21.0,109.09090909090908,10,1
MM Ali,180,136,30.0,132.35294117647058,17,8
N Jagadeesan,1,4,1.0,25.0,0,0
AT Rayudu,128,126,12.8,101.58730158730158,8,6
Simarjeet Singh,3,3,3.0,100.0,0,0
MJ Santner,11,6,11.0,183.33333333333331,0,1
YBK Jaiswal,266,169,33.25,157.39644970414201,34,11
JC Buttler,367,272,45.875,134.9264705882353,36,11
SV Samson,290,252,17.058823529411764,115.07936507936508,17,16
D Padikkal,68,49,34.0,138.77551020408163,10,0
R Ashwin,108,90,36.0,120.0,6,6
SO Hetmyer,75,60,25.0,125.0,5,4
R Parag,122,110,24.4,110.9090909090909,7,5
SM Curran,52,37,17.333333333333332,140.54054054054055,2,4
F du Plessis,295,224,36.875,131.69642857142858,19,12
KM Jadhav,35,33,11.666666666666666,106.06060606060606,5,0
BA Stokes,149,109,29.8,136.69724770642202,9,5
RV Uthappa,9,18,4.5,50.0,0,0
SPD Smith,176,181,25.142857142857142,97.23756906077348,11,4
Dhruv Jurel,100,58,33.333333333333336,172.41379310344826,6,7
SB Dubey,0,1,0.0,0.0,0,0
R Ravindra,27,22,13.5,122.72727272727273,1,2
DJ Mitchell,22,14,22.0,157.14285714285714,4,0
S Dube,216,174,36.0,124.13793103448276,14,13
Sameer Rizvi,15,8,15.0,187.5,3,0
ML Hayden,102,83,25.5,122.89156626506023,10,3
S Badrinath,154,139,30.8,110.79136690647482,21,1
MJ Lumb,67,43,33.5,155.8139534883721,9,3
NV Ojha,174,109,87.0,159.63302752293578,14,11
YK Pathan,109,83,18.166666666666668,131.32530120481925,9,6
FY Fazal,21,24,10.5,87.5,1,0
AA Jhunjhunwala,18,10,9.0,180.0,2,1
AS Raut,28,23,14.0,121.73913043478262,1,2
N Rana,81,37,81.0,218.9189189189189,10,5
PWH de Silva,4,5,4.0,80.0,0,0
JC Archer,64,34,64.0,188.23529411764704,2,6
K Kartikeya,1,1,1.0,100.0,0,0
M Theekshana,2,4,2.0,50.0,0,0
TU Deshpande,1,3,1.0,33.33333333333333,0,0
RA Tripathi,77,63,19.25,122.22222222222223,9,2
V Shankar,9,6,9.0,150.0,0,1
