batsman,bowler,runs,balls,average,strike_rate,dismissals
R Dravid,JA Morkel,24,24,24.0,100.0,0
AM Rahane,BW Hilfenhaus,12,17,12.0,70.58823529411765,0
R Dravid,BW Hilfenhaus,0,3,0.0,0.0,1
SR Watson,BW Hilfenhaus,1,6,1.0,16.666666666666664,1
AM Rahane,JA Morkel,14,12,14.0,116.66666666666667,1
SR Watson,JA Morkel,41,30,41.0,136.66666666666666,0
STR Binny,BW Hilfenhaus,3,6,3.0,50.0,0
AM Rahane,VY Mahesh,3,6,3.0,50.0,1
STR Binny,VY Mahesh,8,9,8.0,88.88888888888889,1
BJ Hodge,VY Mahesh,3,6,3.0,50.0,0
STR Binny,DJ Bravo,57,28,57.0,203.57142857142856,1
BJ Hodge,DJ Bravo,17,12,17.0,141.66666666666669,0
J Botha,VY Mahesh,4,6,4.0,66.66666666666666,0
BJ Hodge,RA Jadeja,11,12,11.0,91.66666666666666,0
J Botha,RA Jadeja,5,9,5.0,55.55555555555556,1
J Botha,DJ Bravo,5,7,5.0,71.42857142857143,0
BJ Hodge,R Ashwin,10,5,10.0,200.0,1
J Botha,R Ashwin,6,9,6.0,66.66666666666666,0
AL Menaria,RA Jadeja,12,11,12.0,109.09090909090908,0
DH Yagnik,R Ashwin,4,9,4.0,44.44444444444444,1
AL Menaria,R Ashwin,9,15,4.5,60.0,2
DH Yagnik,DJ Bravo,9,5,9.0,180.0,0
AL Menaria,DJ Bravo,15,9,15.0,166.66666666666669,0
MEK Hussey,SR Watson,26,25,26.0,104.0,0
M Vijay,SR Watson,50,36,25.0,138.88888888888889,2
MEK Hussey,Pankaj Singh,6,7,6.0,85.71428571428571,0
SK Raina,Pankaj Singh,16,13,16.0,123.07692307692308,1
MEK Hussey,SW Tait,2,12,2.0,16.666666666666664,1
SK Raina,SW Tait,14,10,14.0,140.0,0
SK Raina,SR Watson,46,28,46.0,164.28571428571428,1
DJ Bravo,J Botha,7,8,7.0,87.5,0
MEK Hussey,J Botha,20,27,20.0,74.07407407407408,1
DJ Bravo,Pankaj Singh,1,2,1.0,50.0,0
DJ Bravo,SK Trivedi,2,5,2.0,40.0,1
MEK Hussey,SK Trivedi,46,33,46.0,139.3939393939394,0
MS Dhoni,SK Trivedi,38,33,38.0,115.15151515151516,1
RA Jadeja,SW Tait,1,4,1.0,25.0,0
MS Dhoni,SW Tait,0,1,0.0,0.0,0
RA Jadeja,SK Trivedi,9,5,9.0,180.0,0
MS Dhoni,J Botha,8,8,8.0,100.0,0
RA Jadeja,J Botha,2,2,2.0,100.0,0
RA Jadeja,Pankaj Singh,4,2,4.0,200.0,1
S Anirudha,Pankaj Singh,1,2,1.0,50.0,0
JA Morkel,Pankaj Singh,19,10,19.0,190.0,0
JA Morkel,SR Watson,15,14,15.0,107.14285714285714,1
S Anirudha,SR Watson,11,3,11.0,366.66666666666663,0
S Anirudha,SW Tait,6,3,6.0,200.0,0
RD Gaikwad,TA Boult,3,9,3.0,33.33333333333333,1
DP Conway,M Prasidh Krishna,1,2,1.0,50.0,0
MM Ali,M Prasidh Krishna,21,14,21.0,150.0,0
DP Conway,TA Boult,12,6,12.0,200.0,0
DP Conway,R Ashwin,5,8,5.0,62.5,1
MM Ali,R Ashwin,24,25,24.0,96.0,0
