venue,batsman,bowler,over,ball,current_score,wickets,runs_last_6,runs_last_12,current_rr,future_runs_6,future_runs_12,future_runs_18
"Arun Jaitley Stadium, Delhi",J Fraser-McGurk,Arshad Khan,0,0,1,0,1,1,99999.99999999999,73,114,176
"Arun Jaitley Stadium, Delhi",J Fraser-McGurk,Arshad Khan,0,1,2,0,2,2,11.999280043197409,73,114,179
"Arun Jaitley Stadium, Delhi",J Fraser-McGurk,Arshad Khan,0,2,2,0,2,2,5.9998200053998385,75,115,185
"Arun Jaitley Stadium, Delhi",J Fraser-McGurk,Arshad Khan,0,3,2,1,2,2,3.9999200015999685,76,115,187
"Arun Jaitley Stadium, Delhi",SD Hope,Arshad Khan,0,4,4,1,4,4,5.99991000134998,74,117,191
"Arun Jaitley Stadium, Delhi",SD Hope,Arshad Khan,0,5,5,1,5,5,5.9999280008639895,74,116,191
"Arun Jaitley Stadium, Delhi",SD Hope,Arshad Khan,0,6,6,1,5,6,5.999940000599993,77,116,193
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,0,7,6,1,4,6,5.142813061602329,78,120,193
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,0,8,6,1,4,6,4.499966250253123,79,124,195
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,1,0,6,1,4,6,5.999940000599993,77,116,193
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,1,1,6,1,2,6,5.142813061602329,78,120,193
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,1,2,7,1,2,7,5.24996062529531,78,123,194
"Arun Jaitley Stadium, Delhi",Abishek Porel,Mohsin Khan,1,3,13,1,7,12,8.666608889274071,74,118,192
"Arun Jaitley Stadium, Delhi",Abishek Porel,Mohsin Khan,1,4,14,1,8,12,8.399949600302397,73,118,192
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,1,5,14,1,8,12,7.636321983698271,74,118,194
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,2,0,18,1,12,16,8.999955000224999,76,115,190
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,2,1,22,1,16,18,10.153799290157123,72,112,186
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,2,2,28,1,21,23,11.999948571648977,66,107,180
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,2,3,29,1,16,23,11.599953600185598,66,106,179
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,2,4,30,1,16,24,11.249957812658202,67,106,178
"Arun Jaitley Stadium, Delhi",SD Hope,Arshad Khan,2,5,31,1,17,25,10.94113785480757,66,105,177
"Arun Jaitley Stadium, Delhi",Abishek Porel,Arshad Khan,2,6,35,1,17,29,11.666627777907406,63,103,173
"Arun Jaitley Stadium, Delhi",SD Hope,Yudhvir Singh,3,0,35,1,13,29,11.666627777907406,63,103,173
"Arun Jaitley Stadium, Delhi",SD Hope,Yudhvir Singh,3,1,35,1,7,28,11.052596676010497,64,104,173
"Arun Jaitley Stadium, Delhi",SD Hope,Yudhvir Singh,3,2,39,1,10,26,11.699964900105298,61,106,169
"Arun Jaitley Stadium, Delhi",SD Hope,Yudhvir Singh,3,3,43,1,13,29,12.28567918377376,61,103,165
"Arun Jaitley Stadium, Delhi",SD Hope,Yudhvir Singh,3,4,49,1,18,35,13.36359991745477,56,97,159
"Arun Jaitley Stadium, Delhi",SD Hope,Yudhvir Singh,3,5,51,1,16,33,13.304313119183167,54,99,157
"Arun Jaitley Stadium, Delhi",Abishek Porel,Mohsin Khan,4,0,52,1,17,30,12.999967500081251,55,106,156
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,4,1,56,1,21,28,13.439967744077414,52,102,152
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,4,2,56,1,17,27,12.923047100660538,54,103,152
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,4,3,56,1,13,26,12.444416790184912,54,104,152
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,4,4,56,1,7,25,11.999974285769389,54,105,152
"Arun Jaitley Stadium, Delhi",SD Hope,Mohsin Khan,4,5,56,1,5,21,11.586182925138777,55,107,152
"Arun Jaitley Stadium, Delhi",Abishek Porel,Naveen-ul-Haq,5,0,62,1,10,27,12.399975200049601,49,101,146
"Arun Jaitley Stadium, Delhi",Abishek Porel,Naveen-ul-Haq,5,1,63,1,7,28,12.19352478672622,49,101,145
"Arun Jaitley Stadium, Delhi",Abishek Porel,Naveen-ul-Haq,5,2,63,1,7,24,11.81247785160403,50,107,145
"Arun Jaitley Stadium, Delhi",Abishek Porel,Naveen-ul-Haq,5,3,63,1,7,20,11.45452462813704,51,108,145
"Arun Jaitley Stadium, Delhi",Abishek Porel,Naveen-ul-Haq,5,4,69,1,13,20,12.176449100383941,46,102,139
"Arun Jaitley Stadium, Delhi",Abishek Porel,Naveen-ul-Haq,5,5,69,1,13,18,11.828551151055171,46,106,139
"Arun Jaitley Stadium, Delhi",Abishek Porel,Naveen-ul-Haq,5,6,73,1,11,21,12.166646388922686,42,104,135
"Arun Jaitley Stadium, Delhi",SD Hope,Ravi Bishnoi,6,0,74,1,11,18,12.333312777812038,41,103,134
"Arun Jaitley Stadium, Delhi",Abishek Porel,Ravi Bishnoi,6,1,75,1,12,19,12.162142439769017,41,106,133
