player,runs,balls,average,strike_rate,fours,sixes
J Fraser-McGurk,56,44,18.666666666666668,127.27272727272727,2,5
SD Hope,49,39,49.0,125.64102564102564,4,2
Abishek Porel,109,73,36.333333333333336,149.31506849315068,10,5
RR Pant,157,124,31.4,126.61290322580645,19,5
T Stubbs,106,58,106.0,182.75862068965517,4,8
AR Patel,128,78,64.0,164.1025641025641,8,9
Q de Kock,134,90,33.5,148.88888888888889,18,3
KL Rahul,210,160,42.0,131.25,14,11
MP Stoinis,42,45,14.0,93.33333333333333,3,2
DJ Hooda,90,82,18.0,109.75609756097562,6,1
N Pooran,181,87,36.2,208.04597701149424,16,14
A Badoni,129,85,32.25,151.76470588235293,13,4
KH Pandya,64,61,32.0,104.91803278688525,2,2
Arshad Khan,78,51,78.0,152.94117647058823,5,5
Yudhvir Singh,14,7,14.0,200.0,1,1
Ravi Bishnoi,2,4,2.0,50.0,0,0
Naveen-ul-Haq,2,4,2.0,50.0,0,0
KR Mayers,73,38,73.0,192.10526315789474,2,7
K Gowtham,6,1,6.0,600.0,0,1
PP Shaw,110,75,27.5,146.66666666666666,18,2
DA Warner,71,76,17.75,93.42105263157895,8,0
MR Marsh,154,95,38.5,162.10526315789474,12,10
SN Khan,40,38,40.0,105.26315789473684,4,0
RR Rossouw,30,20,30.0,150.0,3,1
R Powell,39,34,13.0,114.70588235294117,3,2
Aman Hakim Khan,4,5,4.0,80.0,0,0
Kuldeep Yadav,27,25,27.0,108.0,2,1
C Sakariya,4,4,4.0,100.0,1,0
Mukesh Kumar,0,1,0.0,0.0,0,0
E Lewis,5,13,5.0,38.46153846153847,0,0
AK Markram,67,46,33.5,145.65217391304347,3,4
DA Miller,41,36,41.0,113.88888888888889,2,2
SN Thakur,1,4,0.5,25.0,0,0
Shahbaz Ahmed,9,8,9.0,112.5,1,0
F du Plessis,29,20,29.0,145.0,3,2
Sameer Rizvi,4,4,4.0,100.0,1,0
Ashutosh Sharma,66,31,66.0,212.9032258064516,5,5
V Nigam,39,16,39.0,243.75,5,2
MA Starc,2,5,2.0,40.0,0,0
MM Sharma,1,2,1.0,50.0,0,0
Abdul Samad,2,8,2.0,25.0,0,0
KK Nair,15,11,15.0,136.36363636363635,2,1
D Padikkal,3,9,3.0,33.33333333333333,0,0
Lalit Yadav,3,4,3.0,75.0,0,0
