batsman,bowler,runs,balls,average,strike_rate,dismissals
J Fraser-McGurk,Arshad Khan,10,8,10.0,125.0,1
SD Hope,Arshad Khan,4,4,4.0,100.0,0
Abishek Porel,Arshad Khan,19,8,19.0,237.5,0
SD Hope,Mohsin Khan,5,9,5.0,55.55555555555556,0
Abishek Porel,Mohsin Khan,8,3,8.0,266.66666666666663,0
SD Hope,Yudhvir Singh,16,6,16.0,266.66666666666663,0
Abishek Porel,Naveen-ul-Haq,16,8,16.0,200.0,1
SD Hope,Ravi Bishnoi,14,9,14.0,155.55555555555557,1
Abishek Porel,Ravi Bishnoi,20,17,20.0,117.64705882352942,0
Abishek Porel,KH Pandya,5,3,5.0,166.66666666666669,0
SD Hope,KH Pandya,7,7,7.0,100.0,0
RR Pant,Ravi Bishnoi,37,31,37.0,119.35483870967742,1
RR Pant,DJ Hooda,6,4,6.0,150.0,0
Abishek Porel,DJ Hooda,2,3,2.0,66.66666666666666,0
T Stubbs,Naveen-ul-Haq,27,12,27.0,225.0,0
RR Pant,Naveen-ul-Haq,15,10,15.0,150.0,1
T Stubbs,Ravi Bishnoi,10,7,10.0,142.85714285714286,0
T Stubbs,KH Pandya,6,5,6.0,120.0,0
RR Pant,KH Pandya,29,11,29.0,263.6363636363636,0
T Stubbs,Mohsin Khan,9,5,9.0,180.0,0
RR Pant,Mohsin Khan,3,8,3.0,37.5,1
RR Pant,Arshad Khan,3,2,3.0,150.0,0
T Stubbs,Arshad Khan,20,6,20.0,333.33333333333337,0
AR Patel,Naveen-ul-Haq,2,2,2.0,100.0,0
AR Patel,Mohsin Khan,6,5,6.0,120.0,0
T Stubbs,Yudhvir Singh,5,2,5.0,250.0,0
AR Patel,Yudhvir Singh,7,4,7.0,175.0,0
Q de Kock,I Sharma,16,12,16.0,133.33333333333331,1
KL Rahul,I Sharma,14,8,14.0,175.0,1
MP Stoinis,I Sharma,1,2,1.0,50.0,0
Q de Kock,KK Ahmed,15,11,15.0,136.36363636363635,1
MP Stoinis,KK Ahmed,5,7,5.0,71.42857142857143,1
DJ Hooda,I Sharma,2,5,1.0,40.0,2
MP Stoinis,AR Patel,8,11,8.0,72.72727272727273,1
N Pooran,AR Patel,20,5,20.0,400.0,0
A Badoni,I Sharma,10,11,10.0,90.9090909090909,0
N Pooran,I Sharma,1,2,1.0,50.0,0
N Pooran,Mukesh Kumar,22,15,22.0,146.66666666666666,1
A Badoni,Mukesh Kumar,43,25,43.0,172.0,1
N Pooran,Kuldeep Yadav,34,23,34.0,147.82608695652172,1
A Badoni,Kuldeep Yadav,13,14,13.0,92.85714285714286,1
A Badoni,T Stubbs,2,3,2.0,66.66666666666666,1
KH Pandya,T Stubbs,1,2,1.0,50.0,0
N Pooran,T Stubbs,29,7,29.0,414.28571428571433,0
N Pooran,Gulbadin Naib,11,5,11.0,220.00000000000003,0
