venue,batsman,bowler,over,ball,current_score,wickets,runs_last_6,runs_last_12,current_rr,future_runs_6,future_runs_12,future_runs_18
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,0,0,0,0,0,0,0.0,77,114,214
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,0,1,4,0,4,4,23.998560086394818,74,110,211
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,0,2,8,0,8,8,23.999280021599354,71,112,208
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,0,3,8,0,8,8,15.999680006399874,71,113,209
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,0,4,8,0,8,8,11.99982000269996,77,117,209
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,0,5,8,0,8,8,9.599884801382384,77,117,210
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,K Rabada,1,0,8,0,8,8,7.9999200007999915,81,117,211
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,K Rabada,1,1,9,0,5,9,7.714219592403492,80,116,217
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,K Rabada,1,2,11,0,3,11,8.249938125464059,79,115,219
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,K Rabada,1,3,12,0,4,12,7.999946667022219,79,115,222
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,K Rabada,1,4,12,0,4,12,7.199956800259198,81,121,223
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,K Rabada,1,5,16,0,8,16,8.727225124226596,78,123,223
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,2,0,17,0,9,17,8.4999575002125,78,122,226
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,Mohammed Siraj,2,1,17,0,8,13,7.846117633303232,78,128,226
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,Mohammed Siraj,2,2,17,0,6,9,7.2856830613583075,78,129,226
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,Mohammed Siraj,2,3,18,0,6,10,7.1999712001152,77,129,225
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,2,4,24,0,12,16,8.999966250126562,72,124,219
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Mohammed Siraj,2,5,28,0,12,20,9.882318062406839,68,121,215
"Narendra Modi Stadium, Ahmedabad",P Simran Singh,K Rabada,3,0,28,1,11,20,9.333302222325925,72,128,215
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,3,1,32,1,15,23,10.10523124663817,68,130,211
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,3,2,34,1,17,23,10.199969400091799,66,129,209
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,3,3,34,1,16,22,9.714257959262973,70,130,209
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,3,4,40,1,16,28,10.909061157105935,64,125,203
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,3,5,42,1,14,26,10.956493156974373,62,124,201
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Arshad Khan,4,0,43,1,15,26,10.749973125067187,62,123,200
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Arshad Khan,4,1,47,1,15,30,11.279972928064973,58,125,196
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Arshad Khan,4,2,47,1,13,30,10.846128816625809,58,129,196
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Arshad Khan,4,3,51,1,17,33,11.333308148204116,54,131,192
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Arshad Khan,4,4,57,1,17,33,12.214259540872412,48,131,186
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Arshad Khan,4,5,61,1,19,33,12.62066354345474,44,129,182
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Arshad Khan,4,6,63,1,20,35,12.5999748000504,43,128,180
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,5,0,63,1,16,31,12.5999748000504,43,128,180
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,5,1,64,1,17,30,12.387072799213938,42,128,179
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,K Rabada,5,2,64,1,13,30,11.999977500042188,42,134,179
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,K Rabada,5,3,68,1,11,28,12.363613884338394,39,134,175
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,K Rabada,5,4,69,1,8,27,12.176449100383941,39,135,174
"Narendra Modi Stadium, Ahmedabad",SS Iyer,K Rabada,5,5,73,1,10,30,12.514264261261268,35,137,170
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Rashid Khan,6,0,77,1,14,30,12.833311944480092,37,137,166
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Rashid Khan,6,1,78,1,14,31,12.648628137359777,36,137,165
"Narendra Modi Stadium, Ahmedabad",SS Iyer,Rashid Khan,6,2,79,1,15,28,12.473664515266556,41,137,164
"Narendra Modi Stadium, Ahmedabad",Priyansh Arya,Rashid Khan,6,3,79,2,11,22,12.153827455650069,42,138,164
"Narendra Modi Stadium, Ahmedabad",Azmatullah Omarzai,Rashid Khan,6,4,85,2,16,24,12.749980875028688,40,132,158
"Narendra Modi Stadium, Ahmedabad",Azmatullah Omarzai,Rashid Khan,6,5,85,2,12,22,12.439006186820215,40,133,158
"Narendra Modi Stadium, Ahmedabad",SS Iyer,M Prasidh Krishna,7,0,89,2,12,26,12.714267551046357,36,134,154
"Narendra Modi Stadium, Ahmedabad",SS Iyer,M Prasidh Krishna,7,1,89,2,11,25,12.41858732290141,36,137,154
"Narendra Modi Stadium, Ahmedabad",SS Iyer,M Prasidh Krishna,7,2,90,2,11,26,12.272710537212905,36,140,153
"Narendra Modi Stadium, Ahmedabad",Azmatullah Omarzai,M Prasidh Krishna,7,3,91,2,12,23,12.133317155577126,36,143,152
"Narendra Modi Stadium, Ahmedabad",SS Iyer,M Prasidh Krishna,7,4,93,2,8,24,12.130418960323095,40,142,150
