batsman,bowler,runs,balls,average,strike_rate,dismissals
Priyansh Arya,Mohammed Siraj,14,9,14.0,155.55555555555557,0
P Simran Singh,K Rabada,5,5,5.0,100.0,1
Priyansh Arya,K Rabada,8,5,8.0,160.0,0
P Simran Singh,Mohammed Siraj,0,3,0.0,0.0,0
SS Iyer,K Rabada,24,13,24.0,184.6153846153846,0
Priyansh Arya,Arshad Khan,20,7,20.0,285.7142857142857,0
Priyansh Arya,Rashid Khan,5,3,5.0,166.66666666666669,1
SS Iyer,Rashid Khan,17,9,17.0,188.88888888888889,0
Azmatullah Omarzai,Rashid Khan,6,2,6.0,300.0,0
SS Iyer,M Prasidh Krishna,32,11,32.0,290.90909090909093,0
Azmatullah Omarzai,M Prasidh Krishna,9,7,9.0,128.57142857142858,0
SS Iyer,R Sai Kishore,17,9,17.0,188.88888888888889,0
Azmatullah Omarzai,R Sai Kishore,1,6,1.0,16.666666666666664,1
GJ Maxwell,R Sai Kishore,0,1,0.0,0.0,1
MP Stoinis,R Sai Kishore,10,6,10.0,166.66666666666669,1
MP Stoinis,Rashid Khan,2,5,2.0,40.0,0
MP Stoinis,Mohammed Siraj,8,5,8.0,160.0,0
SS Iyer,Mohammed Siraj,7,3,7.0,233.33333333333334,0
Shashank Singh,R Sai Kishore,5,6,5.0,83.33333333333334,1
Shashank Singh,Rashid Khan,29,12,29.0,241.66666666666666,0
Shashank Singh,K Rabada,2,3,2.0,66.66666666666666,0
Shashank Singh,Mohammed Siraj,22,7,22.0,314.2857142857143,0
B Sai Sudharsan,Arshdeep Singh,37,32,18.5,115.625,2
B Sai Sudharsan,Azmatullah Omarzai,10,5,10.0,200.0,0
Shubman Gill,Azmatullah Omarzai,19,7,19.0,271.42857142857144,0
Shubman Gill,Arshdeep Singh,51,38,51.0,134.21052631578948,0
B Sai Sudharsan,M Jansen,8,5,8.0,160.0,0
Shubman Gill,M Jansen,7,3,7.0,233.33333333333334,0
B Sai Sudharsan,GJ Maxwell,10,6,10.0,166.66666666666669,0
Shubman Gill,GJ Maxwell,6,3,6.0,200.0,1
JC Buttler,GJ Maxwell,9,4,9.0,225.0,0
B Sai Sudharsan,MP Stoinis,11,3,11.0,366.66666666666663,0
JC Buttler,MP Stoinis,3,3,3.0,100.0,0
JC Buttler,YS Chahal,4,6,4.0,66.66666666666666,0
B Sai Sudharsan,YS Chahal,29,13,29.0,223.0769230769231,0
JC Buttler,M Jansen,22,13,22.0,169.23076923076923,1
JC Buttler,Arshdeep Singh,13,4,13.0,325.0,0
SE Rutherford,Arshdeep Singh,9,5,9.0,180.0,1
SE Rutherford,MP Stoinis,17,6,17.0,283.33333333333337,0
SE Rutherford,Vijaykumar Vyshak,14,18,14.0,77.77777777777779,0
JC Buttler,Vijaykumar Vyshak,3,3,3.0,100.0,0
SE Rutherford,M Jansen,6,4,6.0,150.0,0
R Tewatia,Vijaykumar Vyshak,6,2,6.0,300.0,0
Arshad Khan,Arshdeep Singh,1,1,1.0,100.0,0
M Shahrukh Khan,Arshdeep Singh,6,1,6.0,600.0,0
SM Curran,Azmatullah Omarzai,7,6,7.0,116.66666666666667,1
P Simran Singh,Azmatullah Omarzai,9,11,9.0,81.81818181818183,0
P Simran Singh,S Sandeep Warrier,20,7,20.0,285.7142857142857,0
SM Curran,MM Sharma,10,16,10.0,62.5,1
P Simran Singh,MM Sharma,7,3,7.0,233.33333333333334,1
SM Curran,Rashid Khan,16,16,16.0,100.0,1
P Simran Singh,Rashid Khan,13,11,13.0,118.18181818181819,0
RR Rossouw,MM Sharma,4,3,4.0,133.33333333333331,0
SM Curran,Noor Ahmad,5,6,5.0,83.33333333333334,0
RR Rossouw,Noor Ahmad,5,4,5.0,125.0,1
JM Sharma,Rashid Khan,33,22,33.0,150.0,1
LS Livingstone,Rashid Khan,12,13,12.0,92.3076923076923,1
JM Sharma,Noor Ahmad,3,3,3.0,100.0,0
LS Livingstone,Noor Ahmad,5,6,5.0,83.33333333333334,1
Shashank Singh,Noor Ahmad,13,13,13.0,100.0,0
JM Sharma,R Sai Kishore,6,4,6.0,150.0,1
Ashutosh Sharma,R Sai Kishore,1,5,1.0,20.0,1
Ashutosh Sharma,Noor Ahmad,2,3,2.0,66.66666666666666,0
Harpreet Singh,R Sai Kishore,5,4,5.0,125.0,0
Harpreet Singh,Rashid Khan,2,4,2.0,50.0,0
Harpreet Brar,R Sai Kishore,17,8,17.0,212.5,1
Harpreet Singh,M Shahrukh Khan,4,4,4.0,100.0,0
Harpreet Brar,M Shahrukh Khan,3,2,3.0,150.0,0
Harpreet Singh,MM Sharma,3,7,3.0,42.857142857142854,1
Harpreet Brar,MM Sharma,10,5,10.0,200.0,0
HV Patel,MM Sharma,0,1,0.0,0.0,1
K Rabada,MM Sharma,1,1,1.0,100.0,0
WP Saha,K Rabada,32,24,10.666666666666666,133.33333333333331,3
Shubman Gill,K Rabada,66,36,66.0,183.33333333333331,1
WP Saha,Arshdeep Singh,31,19,31.0,163.1578947368421,1
Shubman Gill,HV Patel,28,16,28.0,175.0,0
B Sai Sudharsan,HV Patel,2,5,2.0,40.0,1
Shubman Gill,SM Curran,21,16,21.0,131.25,1
