venue,batsman,bowler,balls_done,balls_remaining,phase,current_score,wickets,wickets_remaining,runs_last_6,runs_last_12,dots_last_6,boundaries_last_6,current_rr,rr_acceleration,partnership_runs,future_runs_6,future_runs_12,future_runs_18
"Brabourne Stadium, Mumbai",VR Iyer,B Kumar,0,120,0,1,0,10,1,1,0,0,99999.99999999999,0.0,1,38,87,143
"Brabourne Stadium, Mumbai",AJ Finch,B Kumar,1,119,0,2,0,10,2,2,0,0,11.999280043197409,0.0,2,37,87,146
"Brabourne Stadium, Mumbai",VR Iyer,B Kumar,2,118,0,3,0,10,3,3,0,0,8.999730008099757,0.0,3,38,86,146
"Brabourne Stadium, Mumbai",AJ Finch,B Kumar,3,117,0,3,0,10,3,3,1,0,5.999880002399952,0.0,3,37,91,147
"Brabourne Stadium, Mumbai",AJ Finch,B Kumar,4,116,0,9,0,10,9,9,1,1,13.499797503037456,0.0,9,37,94,149
"Brabourne Stadium, Mumbai",AJ Finch,B Kumar,5,115,0,9,0,10,9,9,2,1,10.799870401555182,0.0,9,33,88,144
"Brabourne Stadium, Mumbai",VR Iyer,M Jansen,6,114,0,10,0,10,9,10,2,1,9.99990000099999,0.0,10,34,88,144
"Brabourne Stadium, Mumbai",VR Iyer,M Jansen,7,113,0,11,0,10,9,11,2,1,9.428490612937603,-2.570789430259806,11,37,93,147
"Brabourne Stadium, Mumbai",AJ Finch,M Jansen,8,112,0,11,1,9,8,11,3,1,8.249938125464059,-0.749791882635698,0,37,92,147
"Brabourne Stadium, Mumbai",SS Iyer,M Jansen,9,111,0,12,1,9,9,12,2,1,7.999946667022219,2.000066664622267,1,37,93,147
"Brabourne Stadium, Mumbai",VR Iyer,M Jansen,10,110,0,12,1,9,3,12,3,0,7.199956800259198,-6.299840702778258,1,40,92,146
"Brabourne Stadium, Mumbai",VR Iyer,M Jansen,11,109,0,12,1,9,3,12,3,0,6.545418843169946,-4.254451558385236,1,41,94,147
"Brabourne Stadium, Mumbai",VR Iyer,M Jansen,12,108,0,12,1,9,2,11,4,0,5.999970000149999,-3.9999300008499903,1,42,100,147
"Brabourne Stadium, Mumbai",SS Iyer,B Kumar,12,108,0,15,1,9,4,13,4,0,7.4999625001874985,-3.4999275009124897,4,43,101,153
"Brabourne Stadium, Mumbai",VR Iyer,B Kumar,13,107,0,19,1,9,8,16,3,1,8.769190296044787,-0.659300316892816,8,42,99,156
"Brabourne Stadium, Mumbai",VR Iyer,B Kumar,14,106,0,19,1,9,7,16,4,1,8.14282224504752,-0.8571102554587249,8,42,95,156
"Brabourne Stadium, Mumbai",VR Iyer,B Kumar,15,105,0,19,1,9,7,10,4,1,7.599969600121599,-0.39997706690061996,8,43,99,156
"Brabourne Stadium, Mumbai",VR Iyer,B Kumar,16,104,0,19,1,9,7,10,4,1,7.124973281350195,-0.07498351890900246,8,43,99,156
"Brabourne Stadium, Mumbai",VR Iyer,B Kumar,17,103,0,19,1,9,7,9,4,1,6.70585868520464,0.16043984203469375,8,43,100,156
"Brabourne Stadium, Mumbai",SS Iyer,M Jansen,18,102,0,19,1,9,4,8,5,1,6.333312222292593,-1.166650277894906,8,47,101,156
"Brabourne Stadium, Mumbai",SS Iyer,M Jansen,19,101,0,23,1,9,4,12,5,1,7.263134958521184,-1.5060553375236028,12,48,101,156
"Brabourne Stadium, Mumbai",SS Iyer,M Jansen,20,100,0,23,1,9,4,11,5,1,6.8999793000621,-1.242842944985421,12,45,97,152
"Brabourne Stadium, Mumbai",SS Iyer,M Jansen,21,99,0,24,1,9,5,12,4,1,6.857123265362099,-0.7428463347595002,13,45,99,152
"Brabourne Stadium, Mumbai",VR Iyer,M Jansen,22,98,0,25,1,9,6,13,3,1,6.81816322319121,-0.30681005815898565,14,45,98,151
"Brabourne Stadium, Mumbai",SS Iyer,M Jansen,23,97,0,25,1,9,6,13,3,1,6.52172211724665,-0.1841365679579896,14,45,97,150
"Brabourne Stadium, Mumbai",VR Iyer,T Natarajan,24,96,0,25,2,8,6,10,3,1,6.249984375039063,-0.08332784725352926,0,45,97,150
"Brabourne Stadium, Mumbai",SP Narine,T Natarajan,25,95,0,31,2,8,8,12,3,1,7.439982144042855,0.17684718552167045,6,45,97,150
"Brabourne Stadium, Mumbai",SP Narine,T Natarajan,26,94,0,31,3,7,8,12,3,1,7.153829645008512,0.2538503449464127,0,40,92,144
"Brabourne Stadium, Mumbai",N Rana,T Natarajan,27,93,0,31,3,7,7,12,4,1,6.888873580280933,0.031750314918833844,0,40,96,144
