venue,batsman,bowler,over,ball,current_score,wickets,runs_last_6,runs_last_12,current_rr,future_runs_6,future_runs_12,future_runs_18
Wankhede Stadium,Salman Butt,SM Pollock,0,0,0,0,0,0,0.0,27,53,67
Wankhede Stadium,Salman Butt,SM Pollock,0,1,0,0,0,0,0.0,27,54,67
Wankhede Stadium,Salman Butt,SM Pollock,0,2,4,0,4,4,11.999640010799677,24,51,63
Wankhede Stadium,Salman Butt,SM Pollock,0,3,5,0,5,5,9.99980000399992,23,50,62
Wankhede Stadium,A Chopra,SM Pollock,0,4,5,0,5,5,7.499887501687476,24,51,62
Wankhede Stadium,A Chopra,SM Pollock,0,5,5,0,5,5,5.9999280008639895,24,51,62
Wankhede Stadium,Salman Butt,A Nehra,1,0,5,0,5,5,4.999950000499995,24,52,62
Wankhede Stadium,Salman Butt,A Nehra,1,1,11,0,11,11,9.428490612937603,18,47,56
Wankhede Stadium,Salman Butt,A Nehra,1,2,11,0,7,11,8.249938125464059,18,49,56
Wankhede Stadium,Salman Butt,A Nehra,1,3,11,0,6,11,7.333284444770368,18,49,56
Wankhede Stadium,Salman Butt,A Nehra,1,4,12,0,7,12,7.199956800259198,17,52,55
Wankhede Stadium,Salman Butt,A Nehra,1,5,12,0,7,12,6.545418843169946,17,53,55
Wankhede Stadium,Salman Butt,A Nehra,1,6,12,0,7,12,5.999970000149999,17,53,55
Wankhede Stadium,A Chopra,SM Pollock,2,0,12,0,1,12,5.999970000149999,17,53,55
Wankhede Stadium,A Chopra,SM Pollock,2,1,13,0,2,9,5.999972307820118,17,52,54
Wankhede Stadium,Salman Butt,SM Pollock,2,2,14,0,3,9,5.999974285824488,16,51,53
Wankhede Stadium,Salman Butt,SM Pollock,2,3,14,0,2,9,5.599977600089599,17,52,53
Wankhede Stadium,Salman Butt,SM Pollock,2,4,16,0,4,11,5.999977500084375,15,50,51
Wankhede Stadium,Salman Butt,SM Pollock,2,5,16,1,4,11,5.6470388928039075,19,51,51
Wankhede Stadium,SC Ganguly,SM Pollock,2,6,16,2,4,5,5.333315555614814,19,51,51
Wankhede Stadium,DJ Hussey,A Nehra,3,0,16,2,3,5,5.333315555614814,19,51,51
Wankhede Stadium,DJ Hussey,A Nehra,3,1,17,2,3,6,5.368404099776527,22,50,50
Wankhede Stadium,DJ Hussey,A Nehra,3,2,17,2,3,5,5.0999847000458995,26,50,50
Wankhede Stadium,DJ Hussey,A Nehra,3,3,18,2,2,6,5.1428424490215745,25,49,49
Wankhede Stadium,SC Ganguly,A Nehra,3,4,19,2,3,7,5.1818040496253195,24,48,48
Wankhede Stadium,DJ Hussey,A Nehra,3,5,19,2,3,7,4.956508809107454,25,48,48
Wankhede Stadium,DJ Hussey,A Nehra,3,6,20,2,4,7,4.99998750003125,24,47,47
Wankhede Stadium,DJ Hussey,A Nehra,3,7,21,2,4,7,5.03998790402903,23,46,46
Wankhede Stadium,DJ Hussey,SM Pollock,4,0,21,2,4,7,5.249986875032813,23,46,46
Wankhede Stadium,DJ Hussey,SM Pollock,4,1,21,3,3,5,5.03998790402903,23,46,46
Wankhede Stadium,Mohammad Hafeez,SM Pollock,4,2,21,3,2,5,4.8461426627477024,24,46,46
Wankhede Stadium,Mohammad Hafeez,SM Pollock,4,3,21,3,2,5,4.666656296319342,24,46,46
Wankhede Stadium,Mohammad Hafeez,SM Pollock,4,4,21,3,1,5,4.4999903571635205,25,46,46
