player,runs,balls,average,strike_rate,fours,sixes
Salman Butt,13,15,13.0,86.66666666666667,1,1
A Chopra,1,4,1.0,25.0,0,0
SC Ganguly,126,124,21.0,101.61290322580645,15,3
DJ Hussey,39,43,19.5,90.69767441860465,4,1
Mohammad Hafeez,7,18,3.5,38.88888888888889,1,0
WP Saha,9,10,9.0,90.0,1,0
LR Shukla,52,45,17.333333333333332,115.55555555555554,5,2
AB Agarkar,17,21,8.5,80.95238095238095,2,0
Shoaib Akhtar,2,8,2.0,25.0,0,0
I Sharma,10,8,10.0,125.0,2,0
AB Dinda,1,2,1.0,50.0,0,0
ST Jayasuriya,124,73,41.333333333333336,169.86301369863014,12,8
SR Tendulkar,326,252,36.22222222222222,129.36507936507937,42,7
RV Uthappa,320,276,24.615384615384617,115.94202898550725,29,15
DJ Thornely,1,6,1.0,16.666666666666664,0,0
PD Salt,11,9,5.5,122.22222222222223,1,1
VR Iyer,365,235,60.833333333333336,155.3191489361702,31,22
SP Narine,51,61,4.636363636363637,83.60655737704919,4,3
SS Iyer,29,29,7.25,100.0,5,0
N Rana,308,234,28.0,131.6239316239316,27,17
AD Russell,260,182,20.0,142.85714285714286,22,19
RK Singh,96,82,16.0,117.07317073170731,8,4
Ramandeep Singh,53,43,17.666666666666668,123.25581395348837,2,3
MA Starc,2,4,2.0,50.0,0,0
Ishan Kishan,253,157,31.625,161.14649681528664,22,16
RG Sharma,967,780,42.04347826086956,123.97435897435898,91,36
SA Yadav,617,409,44.07142857142857,150.85574572127138,65,25
Tilak Varma,110,82,27.5,134.14634146341464,12,4
HH Pandya,302,177,43.142857142857146,170.6214689265537,28,18
TH David,61,47,20.333333333333332,129.7872340425532,5,3
N Wadhera,15,21,5.0,71.42857142857143,2,0
Naman Dhir,28,17,14.0,164.70588235294116,3,2
A Kamboj,2,2,2.0,100.0,0,0
PP Chawla,15,30,5.0,50.0,1,0
G Gambhir,349,313,23.266666666666666,111.50159744408946,37,7
MK Pandey,346,264,43.25,131.06060606060606,22,16
YK Pathan,299,223,42.714285714285715,134.08071748878925,29,10
C Munro,4,6,4.0,66.66666666666666,0,0
PA Patel,89,76,17.8,117.10526315789474,13,1
MJ McClenaghan,20,8,20.0,250.0,0,3
JC Buttler,84,63,28.0,133.33333333333331,6,5
KA Pollard,309,263,25.75,117.49049429657794,18,15
LMP Simmons,29,42,7.25,69.04761904761905,3,1
CM Gautam,15,17,7.5,88.23529411764706,2,0
AT Rayudu,264,199,26.4,132.66331658291458,24,9
CJ Anderson,75,61,37.5,122.95081967213115,5,4
AP Tare,34,36,11.333333333333334,94.44444444444444,3,1
Shakib Al Hasan,88,71,12.571428571428571,123.94366197183098,11,0
RA Tripathi,86,57,43.0,150.87719298245614,9,3
Shubman Gill,166,137,23.714285714285715,121.16788321167884,16,6
KD Karthik,163,140,32.6,116.42857142857143,20,4
EJG Morgan,105,99,21.0,106.06060606060606,8,5
PJ Cummins,142,69,47.333333333333336,205.79710144927535,10,12
Q de Kock,167,128,27.833333333333332,130.46875,14,9
CA Lynn,205,147,34.166666666666664,139.45578231292518,23,10
