batsman,bowler,runs,balls,average,strike_rate,dismissals
Salman Butt,SM Pollock,7,8,7.0,87.5,1
A Chopra,SM Pollock,1,4,1.0,25.0,0
Salman Butt,A Nehra,6,7,6.0,85.71428571428571,0
SC Ganguly,SM Pollock,5,7,5.0,71.42857142857143,1
DJ Hussey,A Nehra,2,7,2.0,28.57142857142857,0
SC Ganguly,A Nehra,6,5,6.0,120.0,0
DJ Hussey,SM Pollock,9,6,9.0,150.0,1
Mohammad Hafeez,SM Pollock,3,8,3.0,37.5,1
Mohammad Hafeez,DJ Bravo,4,7,4.0,57.14285714285714,0
WP Saha,SM Pollock,1,1,1.0,100.0,0
WP Saha,DJ Bravo,0,5,0.0,0.0,1
LR Shukla,DJ Bravo,21,13,21.0,161.53846153846155,0
LR Shukla,A Nehra,0,2,0.0,0.0,0
LR Shukla,RR Raje,0,1,0.0,0.0,1
AB Agarkar,RR Raje,10,6,10.0,166.66666666666669,0
AB Agarkar,DJ Thornely,2,5,2.0,40.0,0
SC Ganguly,DJ Thornely,2,5,2.0,40.0,1
SC Ganguly,RR Raje,6,5,6.0,120.0,0
Shoaib Akhtar,DJ Thornely,1,5,1.0,20.0,0
AB Agarkar,DJ Bravo,4,4,4.0,100.0,1
Shoaib Akhtar,DJ Bravo,1,1,1.0,100.0,0
I Sharma,DJ Bravo,5,3,5.0,166.66666666666669,0
I Sharma,DJ Thornely,0,3,0.0,0.0,1
AB Dinda,DJ Thornely,1,1,1.0,100.0,0
Shoaib Akhtar,RR Raje,0,2,0.0,0.0,1
ST Jayasuriya,Shoaib Akhtar,27,8,27.0,337.5,0
SR Tendulkar,Shoaib Akhtar,0,3,0.0,0.0,1
RV Uthappa,Shoaib Akhtar,1,2,1.0,50.0,0
ST Jayasuriya,I Sharma,39,27,39.0,144.44444444444443,1
RV Uthappa,I Sharma,13,11,13.0,118.18181818181819,1
DJ Thornely,I Sharma,0,2,0.0,0.0,0
ST Jayasuriya,AB Agarkar,2,4,2.0,50.0,0
DJ Thornely,AB Agarkar,1,4,1.0,25.0,0
PD Salt,N Thushara,11,9,5.5,122.22222222222223,2
VR Iyer,N Thushara,17,12,17.0,141.66666666666669,0
SP Narine,JJ Bumrah,3,10,1.5,30.0,2
SS Iyer,JJ Bumrah,5,6,5.0,83.33333333333334,0
VR Iyer,JJ Bumrah,33,28,16.5,117.85714285714286,2
SS Iyer,A Kamboj,2,5,2.0,40.0,1
VR Iyer,A Kamboj,14,8,14.0,175.0,0
N Rana,A Kamboj,7,6,7.0,116.66666666666667,0
N Rana,HH Pandya,41,27,20.5,151.85185185185185,2
VR Iyer,HH Pandya,21,13,21.0,161.53846153846155,0
VR Iyer,PP Chawla,18,22,18.0,81.81818181818183,1
AD Russell,PP Chawla,16,10,16.0,160.0,1
N Rana,N Thushara,2,4,2.0,50.0,0
AD Russell,N Thushara,7,3,7.0,233.33333333333334,0
N Rana,PP Chawla,8,10,8.0,80.0,0
N Rana,JJ Bumrah,25,27,12.5,92.5925925925926,2
AD Russell,JJ Bumrah,57,46,14.25,123.91304347826086,4
