batsman,runs_batsman,balls,is_wicket,strike_rate,avg
AK Markram,7,8,1,87.5,7.0
Abdul Samad,10,6,1,166.66666666666669,10.0
Abhishek Sharma,31,15,1,206.66666666666669,31.0
B Kumar,13,14,1,92.85714285714286,13.0
C Green,37,22,0,168.1818181818182,37.0
F du Plessis,25,12,1,208.33333333333334,25.0
H Klaasen,7,3,1,233.33333333333334,7.0
JD Unadkat,8,11,0,72.72727272727273,8.0
KD Karthik,11,7,1,157.14285714285714,11.0
MK Lomror,7,5,1,140.0,7.0
Nithish Kumar Reddy,13,14,1,92.85714285714286,13.0
PJ Cummins,31,16,1,193.75,31.0
RM Patidar,50,21,1,238.0952380952381,50.0
Shahbaz Ahmed,40,39,0,102.56410256410255,40.0
Swapnil Singh,12,6,1,200.0,12.0
TM Head,1,3,1,33.33333333333333,1.0
V Kohli,51,43,1,118.6046511627907,51.0
WG Jacks,6,9,1,66.66666666666666,6.0
