player,runs,balls,average,strike_rate,dot_pct,boundary_pct,pp_sr,middle_sr,death_sr,runs_conceded,balls_bowled,wickets,economy,bowling_sr,dot_bowl_pct
Bipul Sharma,38,25,38.0,152.0,0.32,0.2,0.0,50.0,160.8695652173913,87,64,1,8.15625,64.0,0.265625
N Jagadeesan,36,21,36.0,171.42857142857142,0.3333333333333333,0.2857142857142857,181.8181818181818,160.0,0.0,0,0,0,0.0,0.0,0.0
Kuldeep Yadav,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,270,214,10,7.570093457943925,21.4,0.3037383177570093
Y Venugopal Rao,27,27,27.0,100.0,0.4074074074074074,0.14814814814814814,0.0,100.0,0.0,0,0,0,0.0,0.0,0.0
KD Karthik,140,106,28.0,132.0754716981132,0.27358490566037735,0.16037735849056603,0.0,104.34782608695652,164.28571428571428,0,0,0,0.0,0.0,0.0
HC Brook,100,62,100.0,161.29032258064515,0.22580645161290322,0.24193548387096775,177.27272727272728,143.33333333333334,180.0,0,0,0,0.0,0.0,0.0
RN ten Doeschate,34,28,11.333333333333334,121.42857142857142,0.25,0.10714285714285714,0.0,73.33333333333333,176.9230769230769,19,19,1,6.0,19.0,0.5263157894736842
PP Chawla,25,27,12.5,92.5925925925926,0.4444444444444444,0.1111111111111111,0.0,20.0,109.09090909090908,218,168,6,7.785714285714286,28.0,0.3630952380952381
R Vinay Kumar,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,25,1,8.639999999999999,25.0,0.48
AD Russell,306,190,23.53846153846154,161.05263157894737,0.35789473684210527,0.23684210526315788,0.0,120.0,217.49999999999997,438,277,25,9.487364620938628,11.08,0.34296028880866425
B Stanlake,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,24,2,5.25,12.0,0.625
YK Pathan,309,206,38.625,150.0,0.24271844660194175,0.17475728155339806,0.0,150.78125,150.64935064935065,113,85,1,7.976470588235294,85.0,0.3176470588235294
Abdul Samad,125,89,17.857142857142858,140.4494382022472,0.38202247191011235,0.16853932584269662,100.0,108.51063829787233,180.0,0,0,0,0.0,0.0,0.0
Shivam Mavi,13,12,6.5,108.33333333333333,0.3333333333333333,0.08333333333333333,0.0,0.0,108.33333333333333,121,88,4,8.25,22.0,0.38636363636363635
N Pooran,7,13,7.0,53.84615384615385,0.23076923076923078,0.0,0.0,40.0,100.0,0,0,0,0.0,0.0,0.0
P Kumar,12,16,12.0,75.0,0.5,0.0625,0.0,140.0,45.45454545454545,29,18,1,9.666666666666666,18.0,0.3333333333333333
Yuvraj Singh,104,77,26.0,135.06493506493507,0.44155844155844154,0.23376623376623376,0.0,136.5079365079365,128.57142857142858,0,0,0,0.0,0.0,0.0
Shashank Singh,11,12,11.0,91.66666666666666,0.4166666666666667,0.08333333333333333,0.0,40.0,128.57142857142858,10,7,0,8.571428571428571,0.0,0.14285714285714285
Sandeep Sharma,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,106,2,9.679245283018867,53.0,0.2641509433962264
TA Boult,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,49,2,7.836734693877552,24.5,0.3469387755102041
PJ Cummins,71,62,17.75,114.51612903225808,0.4032258064516129,0.14516129032258066,0.0,93.54838709677419,135.48387096774192,284,190,8,8.968421052631578,23.75,0.39473684210526316
