batsman,bowler,runs,balls,average,strike_rate,dot_pct,boundary_pct,dismissals,dismissal_rate,balls_per_dismissal,pp_sr,middle_sr,death_sr,impact_score
VR Iyer,B Kumar,49,37,49.0,132.43243243243242,0.43243243243243246,0.21621621621621623,0,0.0,37.0,132.43243243243242,0.0,0.0,75.16435354273192
VR Iyer,M Jansen,14,20,4.666666666666667,70.0,0.55,0.1,3,0.15,6.666666666666667,70.0,0.0,0.0,26.774999999999995
SS Iyer,M Jansen,13,11,13.0,118.18181818181819,0.45454545454545453,0.18181818181818182,0,0.0,11.0,118.18181818181819,0.0,0.0,64.46280991735537
VR Iyer,T Natarajan,29,13,14.5,223.0769230769231,0.23076923076923078,0.46153846153846156,2,0.15384615384615385,6.5,254.54545454545453,50.0,0.0,145.1979972690032
SP Narine,T Natarajan,11,11,11.0,100.0,0.6363636363636364,0.18181818181818182,1,0.09090909090909091,11.0,100.0,100.0,0.0,33.057851239669425
N Rana,T Natarajan,77,48,25.666666666666668,160.41666666666669,0.4791666666666667,0.2708333333333333,3,0.0625,16.0,147.36842105263156,162.5,200.0,78.32845052083333
N Rana,M Jansen,31,33,31.0,93.93939393939394,0.3939393939393939,0.12121212121212122,0,0.0,33.0,105.26315789473684,78.57142857142857,0.0,56.93296602387512
SS Iyer,Umran Malik,16,15,8.0,106.66666666666667,0.5333333333333333,0.13333333333333333,2,0.13333333333333333,7.5,0.0,106.66666666666667,0.0,43.140740740740746
N Rana,Umran Malik,44,27,44.0,162.96296296296296,0.4444444444444444,0.2962962962962963,1,0.037037037037037035,27.0,466.6666666666667,76.19047619047619,0.0,87.18183203779913
AD Russell,M Jansen,12,10,12.0,120.0,0.4,0.1,0,0.0,10.0,0.0,120.0,0.0,72.0
AD Russell,T Natarajan,43,28,43.0,153.57142857142858,0.14285714285714285,0.17857142857142858,1,0.03571428571428571,28.0,0.0,158.8235294117647,145.45454545454547,126.9314868804665
AD Russell,Umran Malik,9,12,9.0,75.0,0.5,0.08333333333333333,0,0.0,12.0,0.0,75.0,0.0,37.5
N Rana,B Kumar,33,31,33.0,106.4516129032258,0.4838709677419355,0.1935483870967742,1,0.03225806451612903,31.0,104.16666666666667,150.0,66.66666666666666,53.17042059682454
AD Russell,B Kumar,97,41,97.0,236.58536585365852,0.21951219512195122,0.4146341463414634,1,0.024390243902439025,41.0,0.0,0.0,236.58536585365852,180.14828571843123
Abhishek Sharma,UT Yadav,6,11,6.0,54.54545454545454,0.5454545454545454,0.0,0,0.0,11.0,54.54545454545454,0.0,0.0,24.793388429752067
KS Williamson,PJ Cummins,13,10,13.0,130.0,0.3,0.2,0,0.0,10.0,130.0,0.0,0.0,91.0
KS Williamson,UT Yadav,21,31,21.0,67.74193548387096,0.5806451612903226,0.0967741935483871,0,0.0,31.0,57.692307692307686,120.0,0.0,28.407908428720077
AK Markram,AD Russell,19,13,19.0,146.15384615384613,0.23076923076923078,0.15384615384615385,1,0.07692307692307693,13.0,50.0,163.63636363636365,0.0,103.7778789258079
RA Tripathi,AD Russell,41,22,13.666666666666666,186.36363636363635,0.4090909090909091,0.36363636363636365,3,0.13636363636363635,7.333333333333333,207.14285714285717,150.0,0.0,95.10706235912846
AK Markram,CV Varun,68,38,34.0,178.94736842105263,0.2894736842105263,0.2631578947368421,2,0.05263157894736842,19.0,100.0,181.08108108108107,0.0,120.45487680419888
RA Tripathi,CV Varun,33,18,33.0,183.33333333333331,0.16666666666666666,0.2777777777777778,0,0.0,18.0,0.0,183.33333333333331,0.0,152.77777777777777
RA Tripathi,SP Narine,37,34,37.0,108.8235294117647,0.29411764705882354,0.058823529411764705,1,0.029411764705882353,34.0,0.0,108.8235294117647,0.0,74.55729696722979
AK Markram,SP Narine,36,44,36.0,81.81818181818183,0.29545454545454547,0.022727272727272728,0,0.0,44.0,0.0,82.5,75.0,57.644628099173566
RA Tripathi,MA Starc,21,13,21.0,161.53846153846155,0.3076923076923077,0.3076923076923077,1,0.07692307692307693,13.0,161.53846153846155,0.0,0.0,103.23167956304052
Abhishek Sharma,VG Arora,6,13,6.0,46.15384615384615,0.46153846153846156,0.0,1,0.07692307692307693,13.0,46.15384615384615,0.0,0.0,22.940373236231224
RA Tripathi,VG Arora,11,17,11.0,64.70588235294117,0.35294117647058826,0.058823529411764705,0,0.0,17.0,64.70588235294117,0.0,0.0,41.868512110726634
Nithish Kumar Reddy,VG Arora,25,13,25.0,192.30769230769232,0.3076923076923077,0.3076923076923077,0,0.0,13.0,200.0,100.0,0.0,133.1360946745562
Nithish Kumar Reddy,MA Starc,7,11,7.0,63.63636363636363,0.5454545454545454,0.09090909090909091,1,0.09090909090909091,11.0,63.63636363636363,0.0,0.0,26.29601803155522
RA Tripathi,Harshit Rana,11,10,11.0,110.00000000000001,0.3,0.1,0,0.0,10.0,50.0,200.0,0.0,77.0
H Klaasen,Harshit Rana,48,26,24.0,184.6153846153846,0.2692307692307692,0.2692307692307692,2,0.07692307692307693,13.0,125.0,189.4736842105263,233.33333333333334,124.53345471096952
H Klaasen,SP Narine,70,40,70.0,175.0,0.1,0.175,0,0.0,40.0,0.0,175.0,0.0,157.5
H Klaasen,AD Russell,28,13,28.0,215.3846153846154,0.07692307692307693,0.3076923076923077,0,0.0,13.0,0.0,200.0,240.0,198.81656804733728
H Klaasen,CV Varun,78,37,78.0,210.81081081081078,0.21621621621621623,0.2972972972972973,1,0.02702702702702703,37.0,0.0,174.07407407407408,310.0,160.76441671766725
